Teams_host,,Teams_guest,host,guest
Swansea,vs,Arsenal,0,3
Watford,vs,West Ham,2,0
WBA,vs,Leicester,2,3
Chelsea,vs,Liverpool,1,3
Liverpool,vs,S'hampton,1,1
B'mouth,vs,Spurs,1,5
Man Utd,vs,Man City,0,0
Arsenal,vs,Everton,2,1
Leicester,vs,C. Palace,1,0
Stoke,vs,Watford,0,2
West Ham,vs,Chelsea,2,1
Swansea,vs,Stoke,0,1
Watford,vs,Arsenal,0,3
C. Palace,vs,West Ham,1,3
Everton,vs,Man Utd,0,3
Man City,vs,B'mouth,5,1
S'hampton,vs,Leicester,2,2
WBA,vs,Sunderland,1,0
Spurs,vs,Liverpool,0,0
Arsenal,vs,Man Utd,3,0
Swansea,vs,Spurs,2,2
Everton,vs,Liverpool,1,1
Chelsea,vs,S'hampton,1,3
B'mouth,vs,Watford,1,1
Sunderland,vs,West Ham,2,2
C. Palace,vs,WBA,2,0
WBA,vs,Everton,2,3
Watford,vs,C. Palace,0,1
Leicester,vs,Arsenal,2,5
Man Utd,vs,Sunderland,3,0
S'hampton,vs,Swansea,3,1
Stoke,vs,B'mouth,2,1
Spurs,vs,Man City,4,1
S'hampton,vs,Man Utd,2,3
Spurs,vs,C. Palace,1,0
Man City,vs,West Ham,1,2
B'mouth,vs,Sunderland,2,0
Stoke,vs,Leicester,2,2
Swansea,vs,Everton,0,0
Chelsea,vs,Arsenal,2,0
Sunderland,vs,Spurs,0,1
Man Utd,vs,Liverpool,3,1
Arsenal,vs,Stoke,2,0
C. Palace,vs,Man City,0,1
Watford,vs,Swansea,1,0
WBA,vs,S'hampton,0,0
Everton,vs,Chelsea,3,1
Swansea,vs,Man Utd,2,1
Spurs,vs,Everton,0,0
B'mouth,vs,Leicester,1,1
Chelsea,vs,C. Palace,1,2
Liverpool,vs,West Ham,0,3
Man City,vs,Watford,2,0
Stoke,vs,WBA,0,1
Arsenal,vs,Liverpool,0,0
Everton,vs,Man City,0,2
Watford,vs,S'hampton,0,0
WBA,vs,Chelsea,2,3
Leicester,vs,Spurs,1,1
Sunderland,vs,Swansea,1,1
West Ham,vs,B'mouth,3,4
Liverpool,vs,B'mouth,1,0
Man City,vs,Chelsea,3,0
C. Palace,vs,Arsenal,1,2
Spurs,vs,Stoke,2,2
Watford,vs,WBA,0,0
West Ham,vs,Leicester,1,2
S'hampton,vs,Everton,0,3
WBA,vs,Man City,0,3
Stoke,vs,Liverpool,0,1
Arsenal,vs,West Ham,0,2
Chelsea,vs,Swansea,2,2
Everton,vs,Watford,2,2
Leicester,vs,Sunderland,4,2
Man Utd,vs,Spurs,1,0
Arsenal,vs,WBA,4,1
Chelsea,vs,Sunderland,3,1
C. Palace,vs,Swansea,1,0
Everton,vs,Spurs,0,1
Hull City,vs,Man Utd,0,0
Man City,vs,S'hampton,2,0
Stoke,vs,Liverpool,6,1
Arsenal,vs,Sunderland,0,0
WBA,vs,Chelsea,3,0
Man Utd,vs,Arsenal,1,1
Swansea,vs,Man City,2,4
Liverpool,vs,C. Palace,1,3
Burnley,vs,Stoke,0,0
Sunderland,vs,Leicester,0,0
Spurs,vs,Hull City,2,0
West Ham,vs,Everton,1,2
Arsenal,vs,Swansea,0,1
Chelsea,vs,Liverpool,1,1
C. Palace,vs,Man Utd,1,2
Hull City,vs,Burnley,0,1
Leicester,vs,S'hampton,2,0
Stoke,vs,Spurs,3,0
Everton,vs,Sunderland,0,2
Hull City,vs,Arsenal,1,3
Spurs,vs,Man City,0,1
Chelsea,vs,C. Palace,1,0
Man Utd,vs,WBA,0,1
Sunderland,vs,S'hampton,2,1
Swansea,vs,Stoke,2,0
West Ham,vs,Burnley,1,0
Leicester,vs,Chelsea,1,3
Hull City,vs,Liverpool,1,0
Arsenal,vs,Chelsea,0,0
Everton,vs,Man Utd,3,0
Burnley,vs,Leicester,0,1
C. Palace,vs,Hull City,0,2
Stoke,vs,Sunderland,1,1
WBA,vs,Liverpool,0,0
S'hampton,vs,Spurs,2,2
Man City,vs,West Ham,2,0
Chelsea,vs,Man Utd,1,0
C. Palace,vs,WBA,0,2
Everton,vs,Burnley,1,0
Leicester,vs,Swansea,2,0
Stoke,vs,S'hampton,2,1
Man Utd,vs,Man City,4,2
Burnley,vs,Arsenal,0,1
S'hampton,vs,Hull City,2,0
Sunderland,vs,C. Palace,1,4
WBA,vs,Leicester,2,3
West Ham,vs,Stoke,1,1
Swansea,vs,Everton,1,1
C. Palace,vs,Man City,2,1
Burnley,vs,Spurs,0,0
Chelsea,vs,Stoke,2,1
Everton,vs,S'hampton,1,0
Leicester,vs,West Ham,2,1
Swansea,vs,Hull City,3,1
Arsenal,vs,Liverpool,4,1
Hull City,vs,Chelsea,2,3
Liverpool,vs,Man Utd,1,2
West Ham,vs,Sunderland,1,0
S'hampton,vs,Burnley,2,0
Stoke,vs,C. Palace,1,2
Spurs,vs,Leicester,4,3
Man City,vs,WBA,3,0
Swansea,vs,Liverpool,0,1
Man Utd,vs,Spurs,3,0
Chelsea,vs,S'hampton,1,1
Burnley,vs,Man City,1,0
Arsenal,vs,West Ham,3,0
Leicester,vs,Hull City,0,0
WBA,vs,Stoke,1,0
Liverpool,vs,Burnley,2,0
West Ham,vs,Chelsea,0,1
Man City,vs,Leicester,2,0
Stoke,vs,Everton,2,0
Spurs,vs,Swansea,3,2
Hull City,vs,Sunderland,1,1
S'hampton,vs,C. Palace,1,0
Arsenal,vs,Everton,2,0
Liverpool,vs,Man City,2,1
Burnley,vs,Swansea,0,1
Man Utd,vs,Sunderland,2,0
Stoke,vs,Hull City,1,0
WBA,vs,S'hampton,1,0
West Ham,vs,C. Palace,1,3
S'hampton,vs,Liverpool,0,2
Everton,vs,Leicester,2,2
Spurs,vs,West Ham,2,2
Chelsea,vs,Burnley,1,1
C. Palace,vs,Arsenal,1,2
Sunderland,vs,WBA,0,0
Swansea,vs,Man Utd,2,1
WBA,vs,Swansea,2,0
Man Utd,vs,Burnley,3,1
S'hampton,vs,West Ham,0,0
Chelsea,vs,Everton,1,0
Stoke,vs,Man City,1,4
Liverpool,vs,Spurs,3,2
Arsenal,vs,Leicester,2,1
West Ham,vs,Man Utd,1,1
Burnley,vs,WBA,2,2
Everton,vs,Liverpool,0,0
Leicester,vs,C. Palace,0,1
Man City,vs,Hull City,1,1
Swansea,vs,Sunderland,1,1
Spurs,vs,Arsenal,2,1
S'hampton,vs,Swansea,0,1
Chelsea,vs,Man City,1,1
C. Palace,vs,Everton,0,1
Liverpool,vs,West Ham,2,0
Man Utd,vs,Leicester,3,1
Sunderland,vs,Burnley,2,0
WBA,vs,Spurs,0,3
Everton,vs,WBA,0,0
Man City,vs,Arsenal,0,2
West Ham,vs,Hull City,3,0
Burnley,vs,C. Palace,2,3
Leicester,vs,Stoke,0,1
Swansea,vs,Chelsea,0,5
Spurs,vs,Sunderland,2,1
Man Utd,vs,S'hampton,0,1
Arsenal,vs,Stoke,3,0
C. Palace,vs,Spurs,2,1
Everton,vs,Man City,1,1
Swansea,vs,West Ham,1,1
WBA,vs,Hull City,1,0
Sunderland,vs,Liverpool,0,1
Spurs,vs,Chelsea,5,3
Hull City,vs,Everton,2,0
Liverpool,vs,Leicester,2,2
Man City,vs,Sunderland,3,2
S'hampton,vs,Arsenal,2,0
West Ham,vs,WBA,1,1
Stoke,vs,Man Utd,1,1
Liverpool,vs,Swansea,4,1
Hull City,vs,Leicester,0,1
Man City,vs,Burnley,2,2
Stoke,vs,WBA,2,0
West Ham,vs,Arsenal,1,2
S'hampton,vs,Chelsea,1,1
Spurs,vs,Man Utd,0,0
Burnley,vs,Liverpool,0,1
C. Palace,vs,S'hampton,1,3
Everton,vs,Stoke,0,1
Leicester,vs,Spurs,1,2
Sunderland,vs,Hull City,1,3
WBA,vs,Man City,1,3
Chelsea,vs,West Ham,2,0
Stoke,vs,Chelsea,0,2
Liverpool,vs,Arsenal,2,2
Hull City,vs,Swansea,0,1
S'hampton,vs,Everton,3,0
Spurs,vs,Burnley,2,1
West Ham,vs,Leicester,2,0
